2565,OPEN,Executable jar problem,type: bug, epic: build issue,2023-08-21 14:11:46 +0000 UTC
2563,OPEN,Translation to Urdu,type: feature, epic: translation,2023-08-21 20:54:44 +0000 UTC
2546,OPEN,Code repetition in Flyweight/README.md,epic: pattern, type: refactoring,2023-07-19 17:04:58 +0000 UTC
2542,OPEN,Dynamic proxy pattern,epic: pattern, type: feature,2023-07-11 10:44:47 +0000 UTC
2527,OPEN,Java design pattern,status: stale,2023-07-21 16:17:33 +0000 UTC
2507,OPEN,Candidate for Known Uses of Proxy,type: enhancement, info: good first issue, epic: documentation,2023-07-19 17:03:55 +0000 UTC
2485,OPEN,Danish language support,type: feature, status: stale, epic: translation,2023-05-11 15:44:57 +0000 UTC
2462,OPEN,Wrong generic type for deques in command README,type: bug, info: help wanted, epic: documentation,2023-03-25 11:52:25 +0000 UTC
2450,OPEN,Refactor Layers Architecture,epic: pattern, type: refactoring, status: stale,2023-03-15 08:37:17 +0000 UTC
2434,OPEN,Event-carried state transfer pattern,epic: pattern, type: feature, status: stale,2023-04-19 19:55:32 +0000 UTC
2407,OPEN,Upgrade to Spring Boot 3.x,epic: dependencies,2023-07-11 10:43:18 +0000 UTC
2395,OPEN,Code snippet of **_<org.apache.commons.logging.LogFactory: org.apache.commons.logging.LogFactory getFactory()>_** in _**org.slf4j:jcl-over-slf4j:jar:1.7.16:compile**_ (loaded version):,epic: dependencies, type: refactoring, status: stale,2023-05-05 11:53:08 +0000 UTC
2375,OPEN,Java 17: Start using text blocks,type: refactoring, epic: code quality, status: stale,2023-06-20 09:38:24 +0000 UTC
2374,OPEN,BLoC design pattern,epic: pattern, type: feature, status: stale,2023-07-19 16:57:53 +0000 UTC
2373,OPEN,Vertical slice architecture,epic: pattern, type: feature,2023-07-19 17:04:21 +0000 UTC
2366,OPEN,Uniform handling for H2 databases,epic: architecture, type: refactoring,2023-07-11 10:42:43 +0000 UTC
2342,OPEN,CRPT idiom,epic: pattern, type: feature, status: stale,2023-05-07 16:30:45 +0000 UTC
2314,OPEN,Translation to Italian,info: help wanted, type: feature, epic: documentation,2022-11-06 19:13:52 +0000 UTC
2289,OPEN,Translation to Chinese,info: help wanted, type: feature, epic: documentation,2023-01-14 06:53:17 +0000 UTC
2288,OPEN,Translation to Vietnamese,info: help wanted, type: feature, epic: documentation,2023-07-11 10:40:40 +0000 UTC
2287,OPEN,Translation to Turkish,info: help wanted, type: feature, epic: documentation,2022-10-30 08:15:52 +0000 UTC
2285,OPEN,Translation to Portuguese,info: help wanted, type: feature, epic: documentation,2022-10-30 08:15:51 +0000 UTC
2284,OPEN,Translation to Marathi,info: help wanted, type: feature, epic: documentation,2022-10-30 08:15:50 +0000 UTC
2282,OPEN,Translate to Korean,info: help wanted, type: feature, epic: documentation,2022-10-30 08:15:48 +0000 UTC
2281,OPEN,Translate to Japanese,info: help wanted, type: feature, epic: documentation,2023-01-09 14:22:53 +0000 UTC
